text,sentiment,id,transformed
"Гнусно и грязно все это делалось: слуги клеветали на господ, сыновья ― на отцов.  [Елена Съянова. Дворцовый переполох // «Знание-сила», 2012] [not disambiguated]",n,2891,"Позорно и грязно, все это было сделано : слуги, что они возвели хозяевами, сыновья - на отцов."
В их толпе́ офице́ры в ра́зных мунди́рах и мно́жество люде́й вооружённых во фра́ках…  [В. А. Жуковский. Письмо к А.И.Тургеневу (1825)] [disambiguated],l,3702,"Были солдаты в мундирах, и многие люди вооружились пальто в своей пастве."
"Сти́мула для ро́ста нет ни у тех, ни у други́х: бога́тым города́м не́зачем собира́ть бо́льше, потому́ что отберу́т, а бе́дные мо́гут не тра́тить си́лы на своё разви́тие ― сре́дства всё равно́ даду́т.  [Лариса Опель. Федеральное самоуправление (2003) // «Деловой квартал» (Екатеринбург), 2003.01.13] [disambiguated]",p,738,"Стороны рассчитывают, что доклад миссии ПРООН в Гальском районе даст poleznyyvklad в определении задач своего экономического восстановления в интересах жителей."
"Ну и ну!  У́мники!  У кого́ взгля́ды совпада́ют, они́ давно́ сплоти́лись, окре́пли в её ряда́х и действи́тельно навсегда́ ста́ли надёжной опо́рой па́ртии.  [Б. Я. Каштанова. На другом берегу (2003) // «Советская Россия», 2003.08.23] [disambiguated]",p,499,"Хорошо! Это умно! Члены собрались в тот вечер и вновь собрались, чтобы подтвердить свое мнение."
"Рассчи́тываем, что Директора́т ста́нет ва́жным инструме́нтом эффекти́вной подде́ржки КТК по выполне́нию зада́ч, определя́емых Сове́том Безопа́сности.  [А. В. Конузин. Интервью по вопросам КТК // «Дипломатический вестник», 2004] [disambiguated]",p,23,"Новая бизнес-идея уверена, что она станет эффективным инструментом при выполнении обязанностей совета."
"Бы́ли за́няты други́ми ва́жными дела́ми, уча́ствовали в спо́рах хозя́йствующих субъе́ктов наприме́р.  [Юлия Латынина. Самурайская дружба (2003) // «Еженедельный журнал», 2003.03.17] [disambiguated]",l,580,"Они были захвачены с другими важными делами, споров о хозяйственных субъектов, например. [Джулия Latynina"
"Всё э́то ста́вит тру́жеников ры́бной о́трасли на грань всеросси́йской забасто́вки, а примо́рские субъе́кты РФ вынужда́ет вести́ нену́жную борьбу́ друг с дру́гом.  [Даниил Володин. Рыбакам надоело правительство (2003) // «Ежедневные новости» (Владивосток), 2003.01.14] [disambiguated]",n,309,"Так что это не заслуга в росте правительства нет, скорее наоборот: «Вклад внешней экономической среды для экономического роста в последние годы было 7-9 процентов от ВВП"
"Э́ти ""сре́дства"" рассма́триваются Маклюэном как вне́шние расшире́ния челове́ка, как непосре́дственные техни́ческие продолже́ния его́ те́ла, о́рганов чувств и спосо́бностей.  [Владимир Николаев. Герберт Маршалл Маклюэн и его книга «Понимание средств коммуникации» // «Отечественные записки», 2003] [disambiguated]",l,710,"Что делается, чтобы люди поселились, как человеческие существа?"
"Но такой человек совершенно чужой в нашей стране, России в начале XIX века.  [коллективный. Сперанский. Несостоявшийся реформатор // «Знание - сила», 2012] [not disambiguated]",n,3032,"Но в нашей стране, в начале 19-го века, есть совершенно лишний незнакомец."
"***   В ито́говом докуме́нте Всеросси́йского конгре́сса полиграфи́стов ― откры́том письме́ прави́тельству РФ отражено́ тре́бование рабо́тников о́трасли ВЫ́РАБОТАТЬ ГОСУДА́РСТВЕННУЮ ПОЛИ́ТИКУ В ОТНОШЕ́НИИ ПОЛИГРАФИ́И.  [Новости (2002) // «Витрина читающей России», 2002.10.25] [disambiguated]",l,1773,В результате дискуссии о будущем капитализма возобновился с новой силой.
"Белых наверняка видел обе «Анатомии протеста» и знает, что Ковязину и остальным арестованным по этому делу грозит признание их всех не только опасными преступниками, но и грузинскими шпионами, которые дрались с полицией не просто так, а потому что Гиви Торгамадзе дал им за это денег.  [Олег Кашин. Просто молодец // «Русская жизнь», 2012] [not disambiguated]",l,2590,"Уайт, "" Анатомия убийства в качестве протеста "" и знает, что Kovyazin и арестованных в этом деле, под угрозой с признанием их всех, не только опасные преступники, но и к шпионы, которые боролись с полиции по причинам, а потому, что Гиви Torgamadze дал им за это деньги"
"― Никогда́ ещё власть столь мно́го на слова́х не забо́тилась о лю́дяхс ограни́ченными возмо́жностями.  [Сергей Обухов. Г.А. Зюганов: КПРФ - защитница самых обездоленных (2003) // «Советская Россия», 2003.06.26] [disambiguated]",n,720,"Кто, однако, ее психическая отец, ребенок, оставшийся не на радость, и теперь русская интеллигенция, по словам г-Гершензона, не более изолированы у пациентов их родной страны sonmische, к которой люди чувствуют себя бессознательный ненависть преобладало в нем какой-либо самостоятельной интерес."
"На Си-Айленде подпи́сано соглаше́ние ме́жду Росси́ей и Канадой о сотру́дничестве в о́бласти уничтоже́ния хими́ческого ору́жия, утилиза́ции а́томных подво́дных ло́док (АПЛ), вы́веденных из соста́ва ВМФ, учёта, контро́ля и физи́ческой защи́ты я́дерных материа́лов и радиоакти́вных веще́ств.  [Встречи В.В. Путина на Си-Айленде // «Дипломатический вестник», 2004] [disambiguated]",p,117,В жару даже вытащил пистолет. Но до стрельбы не дошло. Старые воры урегулировали конфликт спокойно.
"Один из героев Достоевского по этому поводу сделал цельное умозаключение: «Если Бога нет, так какой же я после этого капитан»?  [И. А. Забежинский. «Грязен, неряха, груб, глуп и, наверное, пьяница… Боже мой, и это священник!» (2015.11.07)] [not disambiguated]",l,3810,"Наконец царствовать императрица Екатерина II; она взошла на трон, когда он был Фридрих II Прусским дал vlastitelyamprimery как на троне господство мудрости, когда Монтескье опубликовал свой о законах бессмертного эссе, когда он писал Беккариа, когда Blackstone большая известность из Уставов Европы о его страна, когда Уолтер проповедовал терпимость к bezgolositsy, бич гонение воздвигли на суеверии и насмешек pustosvyatstvo проводит оружие, и язык его, как бритва представляет собой сложный, измельченный эти смертельное izstupleniya - она"
"И вот это все: благородный гнев по поводу всех сразу бед страны, гнев, который научились уже извергать даже фотомодели, неудержимый рост благосостояния государственных людей и тотальное равнодушие к самым страшным вещам, вокруг творящимся, и тотальное озверение ― они сплетаются в какую-то путаную, но и понятную в то же время картину.  [Иван Давыдов. Фоторобот // «Русская жизнь», 2012] [not disambiguated]",n,2501,"И все это: они становятся более смущенными с высоким уровнем ярости по всем вопросам в стране, ноу-хау, чтобы даже извергать фотомодели, равнодушие к правам человека людей и самым ужасным вещам вокруг, и полную жестокость."
"КАК ""КРОЛЛ АССОШИЕЙТЕД"" УВЯ́ЗЛА В ""ЗО́ЛОТЕ ПА́РТИИ""  [Оборотни первой волны (2003) // «Завтра», 2003.08.06] [disambiguated]",l,1340,Декрет о земле был дан 26 октября 1917 года на Всероссийском съезде Советов.
"Простые и эффективные методы ― принуждение, запугивание, жестокое в случае чего наказание ― быстро показали местным жителям, кто в доме хозяин.  [Иван Толстой. Барин из Парижа // «Русская жизнь», 2012] [not disambiguated]",p,2918,"простая и эффективные методы - принуждения, запугивания, жестокого наказания в этом случае - быстро, местных жителей, которые здесь босс в доме. [Иван Толстой. Barin в Париже"
"Про́сто, поня́тно и вполне́ конкре́тно.  ""Де́ло Ходорко́вского"", "" де́ло Гусинского"", "" де́ло Березовского"".  Обыва́тель, осо́бенно из тех, кого́ ра́дует не то, что тебе́ хорошо́, а что сосе́ду пло́хо, мо́жет спать споко́йно.  [Иосиф Гальперин. Власть «делом» занимается (2003) // «Совершенно секретно», 2003.08.09] [disambiguated]",p,313,"Просто, ясно и конкретно. ""Ходорковских в случае"", ""Гусинских случае"", ""Березовский случае"", мещанин-наркоман, особенно тех, которые рады, что лучше, но, что сосед плохой, может проспать спокойно."
"Осо́бо хоте́л бы обрати́ться со слова́ми приве́тствия к мини́стру иностра́нных дел Габонской Респу́блики.  [С. В. Лавров. Выступление на приеме в честь празднования Дня Африки // «Дипломатический вестник», 2004] [disambiguated]",p,36,Я хотел бы особо обратиться к министру иностранных дел Габонской Республики.
"Тако́е отноше́ние к просты́м вое́нным, на плеча́х кото́рых вы́играли кампа́нию 1999-2000 годо́в и внесли́ на престо́л ны́нешнюю власть, не вызыва́ет уже́ никако́го удивле́ния и вообще́ эмо́ций по́сле оглашённого за неде́лю до Моздокской траге́дии пригово́ра Северокавказского вое́нного суда́ в Ростове-на-Дону по де́лу Буданова.  [Александр Гамаюн. Северокавказский приговор (2003) // «Завтра», 2003.08.06] [disambiguated]",l,327,"Это отношение к обычным, кто победил в кампании 1999-2000 гг. на плечи и нынешнее правительство, чтобы не сюрприз, или эмоции после вынесения приговора в Северном Кавказе в военном трибунале в Ростове-на-Дону объявил неделю до Моздок трагедия в случае с делом Буданова"
"Е́сли попыта́ться кра́тко проанализи́ровать тот путь, кото́рый Комите́т прошёл за непо́лные три го́да своего́ существова́ния, сле́дует вы́делить, пожа́луй, не́сколько моме́нтов.  [А. В. Конузин. Интервью по вопросам КТК // «Дипломатический вестник», 2004] [disambiguated]",l,19,"Если мы попытаемся кратко проанализировать, чем Комитет в менее чем за три года своего существования, возможно, мы должны выделить несколько пунктов."
"[Петергофский Самсон, nick]   И эти людиучили нас нравственности и государственному строительству.  [неизвестный. Размышления на могиле Герцена (окончание) (2012)] [not disambiguated]",p,3325,Она научила нас этике и национальным институтам.
"То есть я слышала о том, что Советстарейшин создан в Северо-Кавказском федеральном округе, но не предполагала, что и другие, более равнинные и березовые субъекты федерации могут испытать нужду в такого рода совещательном органе.  [Евгения Пищикова. Совет старейшин // «Русская жизнь», 2012] [not disambiguated]",l,2745,"То есть, я услышал, что Sovremenareysh был основан в Северном Кавказе в федеральном округе, но и не ожидал, что друга, равнинами и береза субъектов федерации может почувствовать необходимость для такого консультативного органа."
"Лю́ди, подчиня́ющиеся в свое́й де́ятельности и оце́нках други́м лю́дям, систе́мам и́ли парти́йным тре́бованиям, интеллиге́нтами, как мне ка́жется, не явля́ются: они́ отка́зываются от у́мственной самостоя́тельности (а, сле́довательно, от како́й-то ча́сти свое́й духо́вной жи́зни), убива́ют в себе́ возмо́жность руково́дствоваться то́лько незави́симыми от ""обстоя́тельств"", парти́йных пристра́стий, полити́ческой целесообра́зности убежде́ниями.  [Дмитрий Лихачев. О русской интеллигенции (1993)] [disambiguated]",n,2236,"Люди, которые сообщают о случаях с другими людьми, систем или партии, интеллектуалов, мне кажется, не : они не в независимости ( и, следовательно, от части их духовной жизни ), они убивают способность руководствоваться только не "" обстоятельства "", интересов, политическая целесообразность убеждения."
"-Мы пока́ не в состоя́нии реши́ть пробле́му с беспла́тными и льго́тными медикаме́нтами.  [Здравоохранение: реалии дня. Отдадим долги и будем развиваться! (2003) // «Марийская правда» (Йошкар-Ола), 2003.01.17] [disambiguated]",l,1285,Мы ещё не в состоянии самостоятельно решить проблему со свободными и могут лекарства. Здравоохранение : реалии. Мы не выплачивают свои долги и будет развиваться!
"Фундамента́льным противоре́чием манифе́ста ""Путь национа́льного успе́ха"" и програ́ммы ""Еди́ной Росси́и"", кото́рое в состоя́нии не консолиди́ровать и расши́рить, а подорва́ть электора́льную ба́зу э́той па́ртии, явля́ется противоре́чие со мно́гими гра́нями: ме́жду коллекти́вом и челове́ком, ме́жду обще́ственными и ли́чными приорите́тами, ме́жду, наконе́ц, госуда́рственным патернали́змом и экономи́ческой свобо́дой.  [Дмитрий Орлов. Размытый лик партии власти (2003) // «Время МН», 2003.07.26] [disambiguated]",n,745,"Хотя мы не можем установить фундаментальные отношения с декларацией «пути к национальному успеху», российская политика, которая подрывает избирательную базу партии, отделяет ее от группы."
"Сло́вом, руково́дству па́ртии придётся изря́дно полома́ть го́лову над предвы́борной страте́гией.  [Евгений Жеребенков. Не «Единой Россией»... (2003) // «Итоги», 2003.02.04] [disambiguated]",n,413,"Другими словами, партийному руководству придется серьезно относиться к избирательной стратегии."
"[Урус-хай, nick]   Но возвращаться было поздно: сарацины вновь заняли сады в долине и отрезали наиболее удобные пути к отступлению.  [коллективный. Форум: Людовик Седьмой взял Дамаск (2012)] [not disambiguated]",n,3142,"И, поэтому, надеюсь, сидеть? - Вы видите, что происходит ... У меня есть более сложная оценка всех последних разработок в бизнесе."
"В начале 1990-х, во время печально известного «шока без терапии», в результате которого национальный доход Польши упал почти на 20%, безработица превысила 3 млн человек, а дефицит бюджета составил в 1992 году 6, 9%, в моей стране говорили о «латинизации», отмечая нарастающие сходства с неблагополучными тогда экономиками Южной Америки.  [Гжегож Колодко. Как избежать африканизации Греции // «Эксперт», 2015] [not disambiguated]",n,3933,"В начале 1990-х годов национальный доход Польши продолжал снижаться, причем уровень безработицы достиг рекордного уровня."
"Как сказано в моейлюбимойкниге ― не надо заниматься сооружением красивых гробов для прошедших мгновений, думай о том, как убить те мгновения, что придут.  [Алексей Зимин, Максим Семеляк. За занавесочкою лжи // «Русская жизнь», 2012] [not disambiguated]",p,2815,"Как указывается в моей любимой книги - не на гробы в последние моменты, думаю о том, чтобы убить тех instants,."
"Все бла́нки и разли́чная документа́ция отпеча́таны от и́мени ""президе́нта ЧР Ахмада Кадырова"" без вся́кой приста́вки ""и. о.""  [Анастасия Матвеева. Кадыров избавится от «и.о.» 5 октября (2003) // «Газета», 2003.07.06] [disambiguated]",l,634,Все формы и любые документы печатаются от имени «Президента Чеченской Республики Ахмада Кадырова» без каких-либо префиксов »и.
"том  числе́ и «предложе́ний рабо́чей гру́ппы сове́та по печа́тным СМИ при Министе́рстве печа́ти»).  [Наталья Ратиани. Телевидения Минпечати не видать (2002) // «Известия», 2002.10.03] [disambiguated]",l,1624,включая «предложения Рабочей группы Совета по печатным СМИ при Министерстве печати»).
"Эстонским братьям можно обогатить конкурс пляски еще одним сценарием: «Маленькие лебеди идут совокупляться в туалет, но тут вбегает депутат В.В. Милонов в образе злогогения.  [Максим Соколов. Узрю ль эстонской Терпсихоры душой исполненный полет? // «Русская жизнь», 2012] [not disambiguated]",n,2852,"Эстонии у братьев может обогатить танец конкуренции с другой сценарий - "" Маленький лебедей идете в туалет, но затем уходит. Milons в виде zlogogeny."
"Кто, какой ценой и в какие сроки снова сможет взять страну хотя бы под относительный контроль ― неясно.   Крупнейшая сила, противостоящая Салеху, ― это «Хашид».  Но это вовсе не отмобилизованная единая группа, стоящая за шейхом аль-Ахмаром, а конфедерация племен, к тому же лишь вторая по численности в стране, со своими лидерами, очень слабо организованная и плохо управляемая.  [Павел Бурмистров. Ракетой по фараону // «Русский репортер», № 22 (200), 9 июня 2011, 2011] [not disambiguated]",n,3626,"Кто по какой цене, в какое время снова сможет взять страну хотя бы в относительном контроле - непонятно. Сила, стоящая перед Салехом, - «Хашид». Но это не обязательно отмобилизованной отдельной группой, за Шейхом аль-Ахмаром, и конфедерацией племен, и только второе число в стране, с их лидерами, очень мало организованных и управляемых."
"Ме́жду тем, общеизвестно, что и́менно в ру́сской культу́ре иде́ям госуда́рственности бы́ло о́чень тру́дно доби́ться призна́ния.  [Н. В. Устрялов. К вопросу о русском империализме // «Проблемы России», 1916] [disambiguated]",n,2337,"Между, общеизвестно, что именно в русской культуре идеям государственности было очень трудно добиться признания."
"Говорит о том, каким профессионалом в работе и просто хорошим человеком был погибший.  [Владимир Антипин. Постой, членовоз! // «Русский репортер», № 3 (181), 27 января 2011, 2011] [not disambiguated]",n,3537,"Поговорите о том, что был профессионалом на работе или просто хорошим человеком."
"― из-за пристройки выходит еще один молодой человек в вязаном свитере с ромбами.  [Марина Ахмедова. Понять дракона // «Русский репортер», № 3 (181), 27 января 2011, 2011] [not disambiguated]",l,3560,программой опять молодой человек в связала свитер с rhombuses.
"Поэтому говорить о том, что дело Колпашевского яра неизвестно, не вполне правомерно.  [Д. Рощеня. Василий Ханевич: «Колпашевский яр — символ нашего забвения» (2015.11.06)] [not disambiguated]",n,3815,"Но это не сработало. Слова и дела «Единой России» Что касается основных конкурентов Коммунистической партии на выборах, то, по словам Г. Зюганова, государственного телевидения и других средств массовой информации «Единая Россия» перекормили всю страну """
"Сообща́емая ны́не мно́ю учёному све́ту кни́га соде́ржит в себе́ ра́зные изве́стия, каса́ющиеся до жи́зни славне́йшего му́жа времён царя́ Алексе́я Миха́йловича.  [Н. И. Новиков. [Артемон Матвеев] (1776)] [disambiguated]",p,3767,Вроде бы здорово. Квалифицированный специалист должен получить много. Человек не вполне подготовлен должен получить немного и стремятся приобрести необходимые навыки.
"Конгрессмен от Техаса, кандидат в президенты Рон Пол безудержно клеймит американскую внешнюю политику на одной из конференций республиканцев.  [коллективный. Год выборов // «Русский репортер», 2012] [not disambiguated]",l,3002,"Конгрессмен из Техаса, кандидат в президенты Рона Пола, unrestrainedly им внешняя политика Америки на конференции о Республиканцах."
"Сейчас политика централизована настолько, что риск для всей системы очень велик.  [Сбывающиеся ожидания // «Русский репортер», 2012] [not disambiguated]",n,3422,"Теперь политика централизована так, что риск для всей системы, есть очень хорошо."
"Мы разделя́ем мне́ние о том, что достиже́ние стаби́льности в регио́не слу́жит вкла́дом в установле́ние ми́ра во всём ми́ре, а та́кже в упро́чение отноше́ний и повыше́ния у́ровня благосостоя́ния госуда́рств― чле́нов ЧЭС.  [Россия -- ЧЭС // «Дипломатический вестник», 2004] [disambiguated]",l,192,"В развитых странах расходы на образование также варьируются от 4 до 8 процентов от ВВП, но есть доход на душу населения значительно огромнее. «Мы не должны забывать, что ВВП сам упал, - говорит Кузьминов."
"Как счита́ют в круга́х красноярских журнали́стов, свои́ми слова́ми Хлопонин, как и мно́гие его́ колле́ги из росси́йских краёв и областе́й, устана́вливает приорите́т произво́дственной целесообра́зности над пробле́мами челове́ка, абсолю́тно игнори́руя при э́том де́йствующее законода́тельство.  [Андрей Хохлов. Кто-то страшный к нам идет... (2003) // «Время МН», 2003.07.26] [disambiguated]",l,1070,"По словам красноярских журналистов, Хлопонин, как и многие его партнеры из регионов и регионов России, ставит приоритет удобства производства в решении проблем человека, полностью игнорируя действующее законодательство."
"Информация о том, что Анна Чапман может возглавить общественный совет организации, появилась еще в декабре 2010 года.  [Братья Запашные выдвинули Анну Чапман в руководство «Молодой гвардии» (2011.03.23) // http://www.rbcdaily.ru/2011/03/23/focus/562949979917910.shtml, 2011] [not disambiguated]",l,3501,"Вопрос, который Анна Чепмен может возглавить организации, в декабре 2010 года."
"У нас на протяже́нии со́тен лет успе́шные лю́ди не воспринима́лись.  [Елена Семенова. Олигарх без галстука (2003) // «Аргументы и факты», 2003.01.29] [disambiguated]",l,912,На протяжении многих лет мы не видели успешных людей.
"12 ИЮ́ЛЯ: э́тот день уда́чен для начина́ния но́вых и ва́жных дел.  [Что нас ждет в августе (2003) // «Криминальная хроника», 2003.06.24] [disambiguated]",p,1443,19 июля 12 : Сегодня на новое и важное дело.
"Группа прорыва была довольно значительной ― около 400 человек.  [Игорь Бородий. Посмертные путешествия Мартина Бормана // «Криминальный отдел», 2011] [not disambiguated]",p,3595,Прорыв был довольно значительным - около 400 человек.
"Но законода́тель му́дрый, не убоя́ся препя́тствий и тру́дностей от ча́стных люде́й, неи́стовых самолю́бцев, презрив негодова́ния не́которых для по́льзы миллио́нов, сокруши́т нея́сности пре́жних узако́нений, низве́ргнет не́нависть чиносостояния разделя́ющие, воздви́гнет зако́н для всех еди́ный, в де́йствии своём, немину́емый, в изрече́ниях неумоли́мый, кото́рый обнажи́т всем нача́льную цель о́бщества и незы́блем водрузи́тся в сердца́ всех согражда́н.  [А. Н. Радищев. О законоположении (1801-1802)] [disambiguated]",p,3708,"Но Он мудр, не боюсь препятствий и трудностей в людей, был взбешен self-lovers, презирая гнев некоторых на благо миллионов, раздавит неоднозначности бывшего legalizations, свержение ненависти к state-sharing, установим закон для всех, один в действии, неизбежным, и в условие и непреклонный, которое покажет всем в цели общества и будут посажены в сердцах всех граждан."
"8 И тогда откроется беззаконник, которого Господь Иисус убьет духом уст Своих и истребит явлением пришествия Своего 9 того, которого пришествие, по действию сатаны, будет со всякою силою и знамениями и чудесами ложными, 10 и со всяким неправедным обольщением погибающих за то, что они не приняли любви истины для своего спасения.  [коллективный. Форум: Кто он, человек греха, сын погибели? (2012)] [not disambiguated]",n,3127,"Нечестивые появятся, и Господь Иисус будет убит Его Духом, и они не получили любви к истине для спасения."
"3 ИЮ́ЛЯ: сего́дня, е́сли позво́лят обстоя́тельства, лу́чше оста́ться до́ма и заня́ться обы́чными хозя́йственными дела́ми.  [Что нас ждет в августе (2003) // «Криминальная хроника», 2003.06.24] [disambiguated]",l,1439,"июля 3 : Сегодня, если позволяют обстоятельства, лучше остаться дома и это обыкновенный домашних дел."
"Внутриполити́ческими дела́ми занима́лся Гео́ргий Сатаров, национа́льной безопа́сностью ― Ю́рий Батурин, вне́шней поли́тикой ― Дми́трий Рюриков, правовы́ми вопро́сами ― Дми́трий Краснов, подгото́вкой выступле́ний президе́нта― Людми́ла Пихоя.  [Даешь «вести с полей» (2003) // «Совершенно секретно», 2003.04.08] [disambiguated]",l,1255,"Джордж Satarov был вовлечен во внутренние дела, Юрий Baturin был национальной безопасности, Дмитрий Rurikov, Дмитрий Дмитрий Krasnov, юридической, Дмитрий Людмила Pikhoy."
"Политики «тройки» ведут себя иррационально, потому что оказались связаны по рукам и ногам пятью обстоятельствами: 1) своими безрассудными заявлениями о том, что не простят Греции ни евроцента долга; 2) озабоченностью своими собственными интересами и интересами особых групп, в частности склонных к спекуляциям финансистов, развращающих политическое поле; 3) «мейнстримовскими» СМИ, которые одурманивают общественное мнение и нагнетают негативные стереотипы о «ленивых и расточительных» греках; 4)технократами  Еврокомиссии и особенно МВФ, назначаемыми вне демократических принципов и по этой причине политически безответственными; 5) своими советниками ― якобы экспертами по техническим вопросам государственных финансов и денежно-кредитной политики, но слабо понимающими взаимоотношения этой политики с культурной и социальной сферами.  [Гжегож Колодко. Как избежать африканизации Греции // «Эксперт», 2015] [not disambiguated]",n,3939,"У политиков « тройки » вести себя иррационально, потому что они были связаны по рукам и ногам на пять условий : 1 ) их безрассудными заявления, с которыми они никогда не простит в евро ), 2 ) из их собственные интересы и интересы специальных групп, особенно подвержен спекуляции финансистов за политической сфере ; 3 ) "" » средств массовой информации, которые stupefy общественного мнения и негативные стереотипы о « ленивом и экстравагантные "" греков ; 4 ) технократы в Европейской Комиссии и особенно МВФ, который назначается на демократические принципы и по этой причине политически безответственного ; 5 ) их советников - якобы экспертов по техническим вопросам государственных финансов и денежно-кредитной политики, но не понимает отношения на культурной и социальной сферах."
"Руково́дство одно́й из крупне́йших росси́йских полити́ческих па́ртий, Сою́за пра́вых сил, нахо́дится на гра́ни раско́ла.  [Борис Немцов, Елена Трегубова. «Мы и правда не из разведки!!» // «Коммерсантъ-Власть», 2002] [disambiguated]",l,1697,"Право Силы, одной из крупнейших политических партий России, рискует расторжением."
"По словам сотрудников ГУФСИН, эти люди и их родственники являются одним из дестабилизирующих факторов.  [Олег Кашин. Дестабилизирующий фактор // «Русская жизнь», 2012] [not disambiguated]",n,2562,"Человек, находящийся в отношениях, является одним из факторов, которые заставляют людей беспокоиться."
"По бо́льшей ча́сти э́то противостоя́ние лате́нтно, достоя́нием обще́ственности оно́ пока́, к сча́стью, не ста́ло, но на управля́емости вооружённых сил ска́зывается уже́ давно́.  [Дмитрий Литовкин. Броня крепка. Генштаб отказывается реформировать армию (2002) // «Известия», 2002.09.27] [disambiguated]",p,1577,"По большей части, этой конфронтации - скрытая, она, к счастью, не достигнуты, имеющим общественный характер, поскольку Два вооруженных сил был на долгое время."
"Сего́дня исто́рики на́шей страны́ и зарубе́жные хорошо́ представля́ют себе́, каку́ю роль сыгра́ли кита́йские доброво́льцы в Коре́йской войне́ 1950-1953 гг., так, к. и. н. И. М. Попо́в писа́л: ""Кита́йское вое́нное уча́стие… яви́лось одни́м из важне́йших аспе́ктов и одни́м из реша́ющих фа́кторов Коре́йской войны́ 1950-1953 гг. Фактически и́менно кита́йское уча́стие на протяже́нии всех лет войны́ позво́лило Се́верной Коре́е досто́йно противостоя́ть объединённым си́лам Ю́жной Кореи  , США и други́х стран За́пада.  [Война в Корее 1950-1953 гг. (2002) // «Проблемы Дальнего Востока», 2002.12.30] [disambiguated]",p,1735,"Мы признаем, что русская культура - наше драгоценное имущество!"
"― Здра́вствуйте.   Зо́лото респу́блики   Иллю́зии насчёт сундуко́в с валю́той това́рищ Парфенов молниено́сно разве́ял.  [Екатерина Боярина. Подъем! (1997) // «Столица», 1997.01.06] [disambiguated]",l,2212,"Народная партия осуждает демонстрацию насилия, порнографии, насмешки национальной культуры и истории в средствах массовой информации."
